review.mp4: 909 проб | лицо 790 | субтитры 790 | вставка сверху 404 (44%)
review.mp4: 3633 проб, масштаб посчитан в 3632
величина                               эталон          коридор   наш ролик  вердикт
линия глаз, % сверху                    31.88      28.13–32.33       27.02  в коридоре
центр лица по X, %                      52.97      51.06–54.07       52.59  в коридоре
высота лица, % кадра                    25.11      23.65–29.90       39.79  РАСХОЖДЕНИЕ
подбородок, % сверху                    46.14      41.88–50.31       48.85  в коридоре
высота буквы, % кадра                    2.14        2.14–2.19        1.35  РАСХОЖДЕНИЕ
низ строки, % сверху                    53.00      52.20–58.20       71.10  РАСХОЖДЕНИЕ
ширина блока, % кадра                   31.05      30.00–31.70       20.40  РАСХОЖДЕНИЕ
доля кадров с одной строкой              0.90        0.80–0.95        1.00  в коридоре
слово держится, с                        0.35        0.35–0.40        0.50  РАСХОЖДЕНИЕ
длина плана, с                           2.50        1.68–3.15        3.40  РАСХОЖДЕНИЕ
склейка каждые, с                        2.77        2.39–3.67        4.78  РАСХОЖДЕНИЕ
